id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,tags,replies,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,gif_url,gif_thumb,video_url,video_thumb,is_quote_status,quote_id,quote_url,is_reply_to,has_parent_tweet
1188529944491708417,1188529944491708417,1572202595000,2019-10-27,15:56:35,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,"También hoy cumple años mi amigo @LulaOficial, un hombre extraordinario que está injustamente preso desde hace un año y medio.  Parabéns pra você, querido Lula. Espero verte pronto.   #LulaLivre pic.twitter.com/PiRE931CxS",[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}, {'id': 2670726740, 'id_str': '2670726740', 'screen_name': 'LulaOficial'}]",['lulaoficial'],[],['https://pbs.twimg.com/media/EH6Bri7WsAM-jCH.jpg'],4535,11083,51275,,['#lulalivre'],https://twitter.com/alferdez/status/1188529944491708417,,,,,,0,0,,0,0
1188486271037071398,1188486271037071398,1572192182000,2019-10-27,13:03:02,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,"Gracias, de nuevo, a toda la gente que nos acompañó y apoyó durante estos meses.   Ahora es tiempo de que trabajemos entre todos para construir la Argentina que soñamos. Una Argentina para todos. Una Argentina de pie. 🤝🇦🇷 pic.twitter.com/NNnve2wu7K",[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],['https://pbs.twimg.com/media/EH5Z9gIXYAEk_cX.jpg'],1601,6802,38170,,[],https://twitter.com/alferdez/status/1188486271037071398,,,,,,0,0,,0,0
1188464728844185600,1188464728844185600,1572187046000,2019-10-27,11:37:26,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,"Hoy es también un día muy especial para muchos de nosotros. Hace 9 años se nos iba Néstor, que además de ser un gran presidente fue mi amigo.  Muchos me preguntan qué le diría hoy. Le diría: “Volvamos a hacerlo que yo te ayudo”.  Te extraño mucho, amigo. Gracias eternas. pic.twitter.com/5CoCZJtzbM",[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],['https://pbs.twimg.com/media/EH5GXmxXUAAUCP5.jpg'],2299,13620,63329,,[],https://twitter.com/alferdez/status/1188464728844185600,,,,,,0,0,,0,0
1188448524276551680,1188448524276551680,1572183183000,2019-10-27,10:33:03,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,Mañana electoral con Dylan. pic.twitter.com/D2DA5LHFri,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],['https://pbs.twimg.com/media/EH43oW3WoAAAkvU.jpg'],1306,3754,42969,,[],https://twitter.com/alferdez/status/1188448524276551680,,,,,,0,0,,0,0
1188064961832144896,1187879322998247425,1572091734000,2019-10-26,09:08:54,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,✌🏻Ahora a trabajar mucho por los que están mal. Abrazo,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}, {'id': 4785231760, 'id_str': '4785231760', 'screen_name': 'limonero_real'}]",[],[],[],301,846,6979,,[],https://twitter.com/alferdez/status/1188064961832144896,,,,,,0,0,,1,1
1187902843166101510,1187902843166101510,1572053082000,2019-10-25,22:24:42,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,"Hoy la @UNTREF le otorgó a Estela de Carlotto el doctorado honoris causa por su enorme lucha por la memoria, la verdad y la justicia.   Para mí es un honor haber estado allí. Quiero, valoro y admiro muchísimo a Estela, una de las mujeres más inmensas que he conocido en mi vida. pic.twitter.com/5sBclPqRTw",[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}, {'id': 210660373, 'id_str': '210660373', 'screen_name': 'UNTREF'}]",['untref'],[],['https://pbs.twimg.com/media/EHxHVkjX0AA8gCX.jpg'],591,2648,13395,,[],https://twitter.com/alferdez/status/1187902843166101510,,,,,,0,0,,0,0
1187682506499383297,1187682506499383297,1572000550000,2019-10-25,07:49:10,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,El domingo los argentinos tenemos una oportunidad histórica. La oportunidad de dejar atrás nuestros desencuentros y abrazarnos para construir el país que soñamos y nos merecemos.  Vamos a poner a la Argentina de pie. Y lo vamos a hacer entre todos.  #YoVotoPorTodos pic.twitter.com/oo5s4Aaw8R,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],['https://pbs.twimg.com/media/EHt-8ULWsAEmnRx.jpg'],1150,4643,14209,,['#yovotoportodos'],https://twitter.com/alferdez/status/1187682506499383297,,,,,,0,0,,0,0
1187568511796858881,1187568511796858881,1571973371000,2019-10-25,00:16:11,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,Cada uno que me abraza y me pide auxilio en el oído genera en mi el compromiso de no fallarles.   En cada discurso que damos estamos firmando un contrato moral y ético con ustedes.  #ArgentinaDePie 🤝🇦🇷 pic.twitter.com/5Cbwfzm4Yr,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],[],1120,3993,14318,,['#argentinadepie'],https://twitter.com/alferdez/status/1187568511796858881,,,,video,video_thumb,0,0,,0,0
1187519936467558400,1187519936467558400,1571961790000,2019-10-24,21:03:10,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,"Vamos a preguntarle a cada argentino si quiere ir al mismo lugar al que queremos ir nosotros.  Y si quieren una Argentina justa, solidaria, con trabajo, con educación pública, con salud pública, abracémoslos, sumémoslos y hagamos la Argentina que todos nos merecemos. pic.twitter.com/AtxNIB2oAF",[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],['https://pbs.twimg.com/media/EHrrFFzXYAEMoY3.jpg'],1799,4793,17320,,[],https://twitter.com/alferdez/status/1187519936467558400,,,,,,0,0,,0,0
1187467855815536640,1187467855815536640,1571949373000,2019-10-24,17:36:13,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,EN VIVO | Cierre de campaña del @frentedetodos en Mar del Plata junto a @CFKArgentina ☀ https://twitter.com/i/broadcasts/1mnGezYlBwAJX …,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}, {'id': 1132308934948282368, 'id_str': '1132308934948282368', 'screen_name': 'FrenteDeTodos'}, {'id': 138814032, 'id_str': '138814032', 'screen_name': 'CFKArgentina'}]","['frentedetodos', 'cfkargentina']",['https://twitter.com/i/broadcasts/1mnGezYlBwAJX'],[],437,2614,7909,,[],https://twitter.com/alferdez/status/1187467855815536640,,,,,,0,0,,0,0
1187383113690865664,1187383113690865664,1571929169000,2019-10-24,11:59:29,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,Un día como hoy los de Argentinos ganamos América.  ¡El domingo los argentinos ganemos el futuro!  Feliz día a los hinchas de mi querido Bicho. pic.twitter.com/daWKbAzhm8,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],[],277,1139,5831,,[],https://twitter.com/alferdez/status/1187383113690865664,,,,video,video_thumb,0,0,,0,0
1187337225702383616,1187337225702383616,1571918228000,2019-10-24,08:57:08,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,Orgulloso de que mi Universidad de Buenos Aires esté entre las 10 mejores universidades de la región.  La educación pública nos distingue en el mundo. Por eso siempre vamos a defenderla. https://www.lanacion.com.ar/sociedad/la-uba-la-mejor-universidad-del-pais-en-una-clasificacion-regional-nid2299586 …,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],['https://www.lanacion.com.ar/sociedad/la-uba-la-mejor-universidad-del-pais-en-una-clasificacion-regional-nid2299586'],[],609,4155,19734,,[],https://twitter.com/alferdez/status/1187337225702383616,,,,,,0,0,,0,0
1187165682712100864,1187165682712100864,1571877329000,2019-10-23,21:35:29,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,"Chaco sufrió el ajuste y el abandono del Gobierno nacional durante estos años.  Con @jmcapitanich vamos a volver a poner de pie a la provincia y a recuperar el trabajo, la salud y la educación para todos los chaqueños. Cuenten conmigo. pic.twitter.com/eK564ZuSUn",[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}, {'id': 143852870, 'id_str': '143852870', 'screen_name': 'jmcapitanich'}]",['jmcapitanich'],[],['https://pbs.twimg.com/media/EHmo5KcWwAI5J36.jpg'],1152,1452,5484,,[],https://twitter.com/alferdez/status/1187165682712100864,,,,,,0,0,,0,0
1187134044246626304,1187134044246626304,1571869786000,2019-10-23,19:29:46,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,"EN VIVO | En Resistencia, Chaco, junto a @domingopeppo y @jmcapitanich. https://twitter.com/i/broadcasts/1OwxWdqMramKQ …",[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}, {'id': 181616227, 'id_str': '181616227', 'screen_name': 'domingopeppo'}, {'id': 143852870, 'id_str': '143852870', 'screen_name': 'jmcapitanich'}]","['domingopeppo', 'jmcapitanich']",['https://twitter.com/i/broadcasts/1OwxWdqMramKQ'],[],157,1173,3417,,[],https://twitter.com/alferdez/status/1187134044246626304,,,,,,0,0,,0,0
1187088775446519811,1187088775446519811,1571858993000,2019-10-23,16:29:53,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,"El presidente podrá seguir buscando las excusas que quiera y echándoles la culpa a otros, pero los números de la economía desnudan sus mentiras: su modelo fracasó y el culpable de la crisis es él. https://twitter.com/INDECArgentina/status/1187083769653710848 …",[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],['https://twitter.com/INDECArgentina/status/1187083769653710848'],[],778,3730,9136,,[],https://twitter.com/alferdez/status/1187088775446519811,,,,,,1,1187083769653710848,https://twitter.com/INDECArgentina/status/1187083769653710848,0,0
1187074427604877312,1187074427604877312,1571855572000,2019-10-23,15:32:52,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,"Desarrollar la inteligencia, desarrollar la ciencia, desarrollar la tecnología, es lo que hace distintos a los pueblos del presente. pic.twitter.com/hObMfv3Yrg",[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],[],216,1812,5257,,[],https://twitter.com/alferdez/status/1187074427604877312,,,,video,video_thumb,0,0,,0,0
1186975556979625985,1186975556979625985,1571832000000,2019-10-23,09:00:00,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,Este domingo 27 Argentina necesita tu voto. #ArgentinaDePie pic.twitter.com/HFsfCCpPqU,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],[],921,5188,13991,,['#argentinadepie'],https://twitter.com/alferdez/status/1186975556979625985,,,,video,video_thumb,0,0,,0,0
1186832123019313152,1186832123019313152,1571797803000,2019-10-22,23:30:03,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,Estoy muy contento de acompañar a @fsaintout porque es docente universitaria como yo y sabemos el valor que tiene la educación pública.  La Plata merece un gobierno que encienda su aparato productivo y piense en su gente. Florencia lo va a hacer. Nosotros la vamos a acompañar. pic.twitter.com/AlTroyGIME,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}, {'id': 878235842, 'id_str': '878235842', 'screen_name': 'fsaintout'}]",['fsaintout'],[],['https://pbs.twimg.com/media/EHh5hbnWkAAahU7.jpg'],212,1080,3869,,[],https://twitter.com/alferdez/status/1186832123019313152,,,,,,0,0,,0,0
1186828960245649408,1186828960245649408,1571797048000,2019-10-22,23:17:28,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,Gracias a los intendentes que se pusieron la campaña al hombro y gracias a todos los que confiaron en nosotros en agosto.  El domingo tenemos una nueva oportunidad de decirles lo que queremos. Van a entender lo que pasó en la Argentina cuando cuenten los votos.  #ArgentinaDePie pic.twitter.com/08Uv8BfQ4r,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],[],['https://pbs.twimg.com/media/EHh2pVUXYAAiK-h.jpg'],247,1833,6429,,['#argentinadepie'],https://twitter.com/alferdez/status/1186828960245649408,,,,,,0,0,,0,0
1186756857962082304,1186756857962082304,1571779858000,2019-10-22,18:30:58,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,EN VIVO | Desde la Universidad Nacional de La Plata. https://twitter.com/i/broadcasts/1zqKVEVzpMWxB …,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],['https://twitter.com/i/broadcasts/1zqKVEVzpMWxB'],[],211,1580,4946,,[],https://twitter.com/alferdez/status/1186756857962082304,,,,,,0,0,,0,0
1186735927252738048,1186735927252738048,1571774868000,2019-10-22,17:07:48,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,EN VIVO | En Malvinas Argentinas junto a intendentes de la 1ª sección electoral. https://twitter.com/i/broadcasts/1BRKjqRjqeLxw …,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}]",[],['https://twitter.com/i/broadcasts/1BRKjqRjqeLxw'],[],271,1498,4266,,[],https://twitter.com/alferdez/status/1186735927252738048,,,,,,0,0,,0,0
1186661676663394305,1186661676663394305,1571757165000,2019-10-22,12:12:45,Argentina Standard Time,149991703,alferdez,Alberto Fernández,,Este jueves cerramos la campaña nacional del @frentedetodos en Mar del Plata. Los esperamos. #TodosAMarDelPlata pic.twitter.com/3y0L5b3lkJ,[],"[{'id': 149991703, 'id_str': '149991703', 'screen_name': 'alferdez'}, {'id': 1132308934948282368, 'id_str': '1132308934948282368', 'screen_name': 'FrenteDeTodos'}]",['frentedetodos'],[],[],527,3388,10674,,['#todosamardelplata'],https://twitter.com/alferdez/status/1186661676663394305,,,,video,video_thumb,0,0,,0,0
